56.707,325.83
43.181,318.83
44.114,311.83
44.114,306.24
43.647,301.11
40.849,295.51
40.382,283.38
40.382,273.12
43.647,264.26
44.58,253.07
44.114,241.87
42.248,224.15
39.45,210.15
38.05,192.9
39.45,177.97
35.718,158.38
37.584,146.26
45.513,132.26
62.304,114.07
75.364,94.017
96.819,87.021
119.21,83.289
147.66,80.957
162.12,80.491
183.11,80.024
198.5,79.558
210.16,79.091
216.22,76.293
220.89,65.565
223.68,54.371
229.28,49.707
242.34,51.573
254,52.039
267.06,56.703
271.73,60.435
275.46,65.565
280.12,69.297
283.85,74.427
286.18,79.091
286.65,74.894
285.25,69.763
282.92,59.502
281.99,45.976
281.99,27.785
289.45,11.927
312.77,9.5951
338.89,12.394
347.75,24.521
349.62,37.58
349.15,46.442
347.29,54.371
342.15,62.767
337.96,66.032
331.43,65.565
327.23,64.166
323.96,61.834
334.69,75.36
342.15,87.487
343.09,93.084
345.42,102.88
346.35,113.14
345.89,124.8
345.42,132.26
345.42,137.39
345.42,142.99
344.95,151.85
345.42,156.98
344.02,161.65
340.29,168.18
339.36,172.37
336.56,177.97
328.16,188.23
321.63,191.5
323.96,199.89
327.23,204.56
327.23,211.55
318.83,211.55
310.9,207.36
302.98,207.82
292.25,214.35
288.98,221.35
294.11,231.14
305.77,241.4
311.84,249.8
316.5,267.06
321.17,279.65
321.63,299.24
319.77,309.97
319.3,319.76
323.96,326.29
330.03,332.36
330.96,342.15
325.36,347.75
280.12,350.08
250.27,341.22
247.01,330.49
255.87,324.43
257.73,316.03
258.2,309.97
248.87,301.57
233.01,287.11
228.82,277.79
216.69,301.11
220.89,310.43
222.75,317.9
220.89,326.76
208.29,326.76
189.17,326.76
196.63,336.09
194.77,345.42
187.77,351.95
172.85,351.95
146.73,352.41
107.55,349.15
99.151,341.68
102.88,335.15
105.68,326.76
107.08,312.3
104.75,301.57
101.48,316.96
101.02,325.36
90.289,330.96
76.297,329.09
61.838,327.23
59.039,327.69
59.506,327.69
59.506,327.69
59.506,327.69
